player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
1184233,IND,JAX,WR,Coleman Owen,,0,,,,,,0,0,-8.75,3000,,8250775,1184233
1285895,CLE,TEN,RB,Raheim Sanders,0.37,0,,,,5.4,,0,0,-10.38,4000,,8244748,1285895
1173255,MIA,NYJ,WR,Malik Washington,9.48,1.56,,,,16.5,3.7,0,0,-1.47,4100,,6228260,1173255
604176,LAR,ARI,TE,Tyler Higbee,,0,,,,,,0,0,-7.75,2500,,35670,604176
1173266,NO,TB,RB,Evan Hull,2.63,0.15,,,,8.5,0.3,0,0,-8.12,4000,,4916613,1173266
824177,PIT,BAL,TE,Matt Sokol,,0,,,,,,0,0,-7.75,2500,,1002018,824177
1130213,NO,TB,WR,Ronnie Bell,,0,,,,,,0,0,-8.75,3000,,4688161,1130213
1130004,CHI,GB,TE,Qadir Ismail,,0,,,,,,0,0,-7.75,2500,,6227718,1130004
1398503,CLE,TEN,WR,Isaiah Bond,3.56,0.42,,,,8.9,0.1,0,0,-5.19,3000,,9683249,1398503
1242787,LV,DEN,QB,Cam Miller,,0,,,,,,0,0,-13.75,4000,,8228698,1242787
728169,BUF,CIN,QB,Mitchell Trubisky,,0,,,,,,0,0,-13.75,4000,,36854,728169
1125846,TEN,CLE,RB,Julius Chestnut,0.54,0,,,,5.6,,0,0,-10.21,4000,,3503728,1125846
884083,BUF,CIN,TE,Dawson Knox,6.81,3.95,,,,12.4,2.4,0,0,-1.54,2800,,982202,884083
326,CHI,GB,DST,Bears,3.82,1.87,,,,9.9,-0.1,0,0,-1.98,2400,,18419,326
1222789,BAL,PIT,RB,Keaton Mitchell,4.77,0.2,,,,11.1,0.2,0,0,-6.98,4500,,4744211,1222789
1060550,JAX,IND,TE,Hunter Long,,0,,,,3.7,,0,0,-7.75,2500,,2861780,1060550
1169329,MIN,WAS,QB,Max Brosmer,,0,,,,,,0,0,-14.15,4200,,8244817,1169329
920482,DEN,LV,WR,Michael Bandy,,0,,,,,,0,0,-8.75,3000,,2946514,920482
1191186,WAS,MIN,RB,Jacory Croskey-Merritt,4,0.17,,,,10.4,0.5,0,0,-8.15,4700,,8229072,1191186
1164940,JAX,IND,TE,Brenton Strange,9.04,4.75,,,,15.2,4.5,0,0,-1.51,3900,,4687831,1164940
823220,PIT,BAL,QB,Mason Rudolph,0.04,0,,,,4.2,-0.4,0,0,-13.91,4100,,328181,823220
1382993,NYJ,MIA,WR,Jamaal Pritchett,,0,,,,,,0,0,-8.75,3000,,8251070,1382993
1174752,NO,TB,QB,Spencer Rattler,,0,,,,,,0,0,-13.75,4000,,6228357,1174752
1394752,CLE,TEN,TE,Harold Fannin Jr.,8.93,6.99,,,,14.7,4.3,0,0,-1.22,3700,,8222999,1394752
922484,CHI,GB,RB,Travis Homer,,0,,,,4.9,,0,0,-10.75,4000,,982875,922484
1172024,WAS,MIN,WR,Treylon Burks,5.44,0.42,,,,11.5,1.7,0,0,-3.71,3200,,3491779,1172024
1164533,CIN,BUF,TE,Erick All Jr.,,0,,,,,,0,0,-7.75,2500,,6227839,1164533
1068822,ARI,LAR,TE,Travis Vokolek,,0,,,,,,0,0,-7.75,2500,,4744209,1068822
1066765,CHI,GB,TE,Cole Kmet,6,0.54,,,,11.2,2.4,0,0,-2.15,2700,,1844217,1066765
868199,BUF,CIN,QB,Josh Allen,23.1,10.31,,,,36.9,11.3,0,0,1.95,7700,,328331,868199
1231820,MIA,NYJ,RB,De'Von Achane,24.43,19.57,,,,36,12.5,0,0,4.08,8800,,4687954,1231820
1056865,NYJ,MIA,TE,Stone Smartt,,0,,,,3.7,,0,0,-7.75,2500,,3492135,1056865
1121887,LV,DEN,WR,Justin Shorter,,0,,,,,,0,0,-8.75,3000,,4687559,1121887
1120347,ATL,SEA,WR,Chris Blair,,0,,,,,,0,0,-8.75,3000,,2595531,1120347
1058648,BAL,PIT,TE,Charlie Kolar,1.17,0.23,,,,5.1,,0,0,-6.58,2500,,3491347,1058648
1131017,GB,CHI,TE,John FitzPatrick,1.38,0.13,,,,5.3,,0,0,-6.37,2500,,3491930,1131017
742382,PIT,BAL,WR,Marquez Valdes-Scantling,0.24,0,,,,4.6,,0,0,-8.51,3000,,328275,742382
1181892,CHI,GB,RB,Deion Hankins,,0,,,,,,0,0,-10.75,4000,,8268094,1181892
879981,IND,JAX,QB,Daniel Jones,17.35,3.93,,,,27.1,9.2,0,0,-0.80,6200,,972884,879981
1125737,CLE,TEN,RB,Jerome Ford,5.8,0.13,,,,12.6,1,0,0,-4.95,4000,,3491403,1125737
1333868,MIA,NYJ,QB,Quinn Ewers,,0,,,,,,0,0,-13.75,4000,,8228771,1333868
327,CIN,BUF,DST,Bengals,3.06,1.91,,,,9.5,-0.4,0,0,-2.14,2100,,18420,327
1213726,TB,NO,WR,Jalen McMillan,,0,,,,,,0,0,-10.75,4000,,6228587,1213726
338,IND,JAX,DST,Colts,6.02,1.15,,,,11.9,1,0,0,-1.38,3200,,18427,338
1214837,TB,NO,WR,Tez Johnson,7.03,1.21,,,,13.6,2,0,0,-3.12,3700,,8229018,1214837
920560,NO,TB,WR,Samori Toure,,0,,,,,,0,0,-8.75,3000,,3491512,920560
1271740,IND,JAX,TE,Drew Ogletree,0.44,0.14,,,,4.3,,0,0,-7.31,2500,,3491722,1271740
1182695,NO,TB,WR,Mason Tipton,5.07,0.75,,,,10.7,1.2,0,0,-3.68,3000,,6228352,1182695
1446717,DEN,LV,TE,Patrick Murtagh,,0,,,,,,0,0,-7.75,2500,,-1446717,1446717
1290165,IND,JAX,QB,Riley Leonard,,0,,,,,,0,0,-13.75,4000,,8228623,1290165
832098,CLE,TEN,TE,David Njoku,3.64,0.54,,,,8.3,0.6,0,0,-4.51,2700,,36844,832098
1164402,SEA,ATL,RB,Kenneth Walker III,14.52,13.52,,,,23.8,6.1,0,0,0.57,5600,,3492251,1164402
1163445,IND,JAX,WR,Eli Pancol,,0,,,,,,0,0,-8.75,3000,,8250808,1163445
828743,CLE,TEN,QB,Deshaun Watson,,0,,,,,,0,0,-13.75,4000,,36923,828743
1286513,MIA,NYJ,RB,Jaylen Wright,1.2,0.18,,,,6.6,,0,0,-9.55,4000,,6228261,1286513
606488,LAR,ARI,TE,Nick Vannett,,0,,,,3.7,,0,0,-7.75,2500,,35685,606488
1110711,JAX,IND,QB,Trevor Lawrence,16.74,7.06,,,,26.4,8.8,0,0,0.19,5400,,2861939,1110711
1057725,ATL,SEA,RB,Carlos Washington Jr.,,0,,,,,,0,0,-10.75,4000,,4715708,1057725
556483,DEN,LV,RB,Michael Burton,,0,,,,,,0,0,-10.75,4000,,21607,556483
1125749,MIA,NYJ,WR,Jaylen Waddle,15.44,10.7,,,,23.6,8.1,0,0,-0.91,6800,,2861778,1125749
1213727,CHI,GB,WR,Rome Odunze,,0,,,,,,0,0,-14.15,5700,,6227815,1213727
1116817,ARI,LAR,RB,Emari Demercado,,0,,,,,,0,0,-11.55,4400,,4715680,1116817
835861,ARI,LAR,WR,Trent Sherfield Sr.,3.27,0,,,,8.6,0.1,0,0,-5.48,3000,,328944,835861
1172752,NO,TB,TE,Treyton Welch,,0,,,,,,0,0,-7.75,2500,,6227868,1172752
746244,BAL,PIT,WR,Keith Kirkwood,,0,,,,,,0,0,-8.75,3000,,328764,746244
748554,IND,JAX,WR,Laquon Treadwell,0.25,0.21,,,,4.7,,0,0,-8.50,3000,,35473,748554
1161664,LAR,ARI,TE,Davis Allen,4,0.26,,,,8.7,0.8,0,0,-3.95,2600,,4687936,1161664
503177,WAS,MIN,TE,Zach Ertz,10.39,3.17,,,,16.6,5.4,0,0,-1.36,4500,,16583,503177
1066811,LV,DEN,QB,Aidan O'Connell,,0,,,,,,0,0,-13.75,4000,,4687880,1066811
